172.18.0.1 - - [03/Sep/2022:07:40:36 +0000] "GET / HTTP/1.1" 403 153 "-" "curl/7.64.0" "-"
85.93.41.221 - - [03/Sep/2022:08:29:32 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\xD6\xDC\x04\xAB\xE3\xC0'\xA0hF\x8Df\xAA\xE7\xBAK\xA7\x11\x15+\xBE\xDC\xA3+\x0B\x93KQd\xAE\x08^ \x84\x08\xFC\x97\xE3\xA3\xD1\x1D\x94\xCA \xC38\xFA\xCC|\xC5\xD5\xF8\xAC( f\xAE\xA3k\xADKJ\x91j\xB2\x00 \x1A\x1A\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x01\x93**\x00\x00\x00\x00\x00\x11\x00\x0F\x00\x00\x0Ctradesoft.ml\x00\x17\x00\x00\xFF\x01\x00\x01\x00\x00" 400 157 "-" "-" "-"
85.93.41.221 - - [03/Sep/2022:08:29:32 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\xF3\x0B\xD3%\xCF\x07\xA0\x12\x1Aj\xC2\xEF\xD4/m\xCC\xFA\xEA\x15\xB54\xD2RU\x03\xE5\x16\xD0\xF1\x5CKm \x7F\xC2\x17\xDA\xCFJ1\x87\x1B\x9FR\xA2t\xA1\x0F\xBE>\x0EJ\x8DE\x8D\xF8\xCA\xFF\x0E\xC4\xA6F\x9D\xDCa\x00 \x9A\x9A\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x01\x93ZZ\x00\x00\x00\x00\x00\x11\x00\x0F\x00\x00\x0Ctradesoft.ml\x00\x17\x00\x00\xFF\x01\x00\x01\x00\x00" 400 157 "-" "-" "-"
212.188.15.137 - - [03/Sep/2022:08:29:35 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x89Q\xF8\xF6" 400 157 "-" "-" "-"
85.93.41.221 - - [03/Sep/2022:08:51:58 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:08:51:58 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://62.109.18.140:443/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:08:53:51 +0000] "GET /test HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:08:53:51 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://tradesoft.ml/test" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:08:54:03 +0000] "GET /test/index.php HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:08:58:44 +0000] "GET /test/index.php HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:08:58:44 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://tradesoft.ml/test/index.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
